"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.10.41","192.168.10.2","SIP","596","Request: REGISTER sip:192.168.10.2  (1 binding) | "
"2","0.000692","192.168.10.2","192.168.10.41","SIP","610","Status: 401 Unauthorized | "
"3","0.005771","192.168.10.41","192.168.10.2","SIP","755","Request: REGISTER sip:192.168.10.2  (1 binding) | "
"4","0.009246","192.168.10.2","192.168.10.41","SIP","625","Request: OPTIONS sip:10009@192.168.10.41:13434;rinstance=309c3e58798d5f69 | "
"5","0.010308","192.168.10.2","192.168.10.41","SIP","654","Status: 200 OK  (1 binding) | "
"6","0.017462","192.168.10.41","192.168.10.2","SIP","593","Status: 200 OK | "
"7","0.024945","192.168.10.41","192.168.10.2","SIP","600","Request: SUBSCRIBE sip:10009@192.168.10.2 | "
"8","0.028999","192.168.10.2","192.168.10.41","SIP","611","Status: 401 Unauthorized | "
"9","0.032569","192.168.10.41","192.168.10.2","SIP","664","Request: SUBSCRIBE sip:10008@192.168.10.2 | "
"10","0.033144","192.168.10.2","192.168.10.41","SIP","599","Status: 401 Unauthorized | "
"11","0.043205","192.168.10.41","192.168.10.2","SIP","765","Request: SUBSCRIBE sip:10009@192.168.10.2 | "
"12","0.043782","192.168.10.2","192.168.10.41","SIP","528","Status: 404 Not Found | "
"13","0.047481","192.168.10.41","192.168.10.2","SIP","829","Request: SUBSCRIBE sip:10008@192.168.10.2 | "
"14","0.047988","192.168.10.2","192.168.10.41","SIP","516","Status: 404 Not Found | "
"15","8.777569","192.168.10.41","192.168.10.2","SIP/SDP","1020","Request: INVITE sip:10008@192.168.10.2 | "
"16","8.778390","192.168.10.2","192.168.10.41","SIP","608","Status: 401 Unauthorized | "
"17","8.779575","192.168.10.41","192.168.10.2","SIP","394","Request: ACK sip:10008@192.168.10.2 | "
"18","8.783844","192.168.10.41","192.168.10.2","SIP/SDP","1185","Request: INVITE sip:10008@192.168.10.2 | "
"19","8.784732","192.168.10.2","192.168.10.41","SIP","542","Status: 100 Trying | "
"20","8.807730","192.168.10.2","192.168.10.41","SIP","558","Status: 180 Ringing | "
"21","16.404854","192.168.10.40","192.168.10.41","RTCP","174","Receiver Report   Source description   "
"22","16.421988","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3886, Time=1658400, Mark"
"23","16.428090","192.168.10.2","192.168.10.41","SIP/SDP","873","Status: 200 OK | "
"24","16.451500","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3887, Time=1658560"
"25","16.465884","192.168.10.41","192.168.10.40","RTCP","174","Receiver Report   Source description   "
"26","16.469590","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3888, Time=1658720"
"27","16.477819","192.168.10.41","192.168.10.2","SIP","647","Request: ACK sip:10008@192.168.10.2 | "
"28","16.490163","192.168.10.41","192.168.10.40","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xBEE0F2ED, Seq=4513, Time=1867500, Mark"
"29","16.490449","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3889, Time=1658880"
"30","16.511456","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3890, Time=1659040"
"31","16.529817","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3891, Time=1659200"
"32","16.539500","192.168.10.40","192.168.10.41","ZRTP","174","Hello Packet"
"33","16.561280","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3892, Time=1659360"
"34","16.581095","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3893, Time=1659520"
"35","16.601897","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3894, Time=1659680"
"36","16.621125","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3895, Time=1659840"
"37","16.640500","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3896, Time=1660000"
"38","16.641002","192.168.10.40","192.168.10.41","ZRTP","174","Hello Packet"
"39","16.641951","192.168.10.41","192.168.10.40","ZRTP","174","Hello Packet"
"40","16.642226","192.168.10.40","192.168.10.41","ZRTP","70","HelloACK Packet"
"41","16.659691","192.168.10.40","192.168.10.41","RTP","214","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3897, Time=1660160"
"42","16.675379","192.168.10.41","192.168.10.40","ZRTP","174","Commit Packet"
"43","16.708076","192.168.10.40","192.168.10.41","ZRTP","526","DHPart1 Packet"
"44","16.708381","192.168.10.41","192.168.10.40","ZRTP","526","DHPart2 Packet"
"45","16.754929","192.168.10.40","192.168.10.41","ZRTP","134","Confirm1 Packet"
"46","16.755270","192.168.10.41","192.168.10.40","ZRTP","134","Confirm2 Packet"
"47","16.759101","192.168.10.40","192.168.10.41","ZRTP","70","Conf2ACK Packet"
"48","16.761767","192.168.10.40","192.168.10.41","SRTP","218","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3899, Time=1660480"
"49","16.761891","192.168.10.40","192.168.10.41","SRTP","218","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3900, Time=1660640"
"50","16.761973","192.168.10.40","192.168.10.41","SRTP","218","PT=ITU-T G.711 PCMU, SSRC=0xB72A7104, Seq=3901, Time=1660800"
