"No.","Time","Source","Destination","Protocol","Length","Info"
"899","89.929215","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62956, Time=3931198041"
"900","89.939175","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53168, Time=767223367"
"901","89.959227","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62957, Time=3931198281"
"902","89.969196","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53169, Time=767223607"
"903","89.989234","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62958, Time=3931198521"
"904","89.999167","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53170, Time=767223847"
"905","90.019232","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62959, Time=3931198761"
"906","90.029191","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53171, Time=767224087"
"907","90.049222","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62960, Time=3931199001"
"908","90.059190","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53172, Time=767224327"
"909","90.079234","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62961, Time=3931199241"
"910","90.089175","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53173, Time=767224567"
"911","90.109215","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62962, Time=3931199481"
"912","90.119181","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53174, Time=767224807"
"913","90.139214","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62963, Time=3931199721"
"914","90.149185","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53175, Time=767225047"
"915","90.169212","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62964, Time=3931199961"
"916","90.179179","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53176, Time=767225287"
"917","90.199222","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62965, Time=3931200201"
"918","90.209185","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53177, Time=767225527"
"919","90.229238","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62966, Time=3931200441"
"920","90.239181","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53178, Time=767225767"
"921","90.259226","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62967, Time=3931200681"
"922","90.269205","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53179, Time=767226007"
"923","90.289220","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62968, Time=3931200921"
"924","90.299187","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53180, Time=767226247"
"925","90.319234","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62969, Time=3931201161"
"926","90.329185","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53181, Time=767226487"
"927","90.349227","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62970, Time=3931201401"
"928","90.359200","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53182, Time=767226727"
"929","90.379233","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62971, Time=3931201641"
"930","90.389189","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53183, Time=767226967"
"931","90.409229","192.168.105.172","192.168.105.110","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x5711BF84, Seq=62972, Time=3931201881"
"932","90.419194","192.168.105.110","192.168.105.172","RTP","294","PT=ITU-T G.711 PCMA, SSRC=0x9A7B5382, Seq=53184, Time=767227207"
