"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.1.2","192.168.1.255","NBNS","92","Name query NB ECI_DOMAIN<1c>"
"2","0.746308","192.168.1.2","192.168.1.255","NBNS","92","Name query NB ECI_DOMAIN<1c>"
"3","1.497578","192.168.1.2","192.168.1.255","NBNS","92","Name query NB ECI_DOMAIN<1c>"
"4","10.816309","Silicom_01:6e:bd","Broadcast","ARP","42","Who has 192.168.1.1? Tell 192.168.1.2"
"5","10.816973","Castlene_00:34:56","Silicom_01:6e:bd","ARP","60","192.168.1.1 is at 00:30:54:00:34:56"
"6","10.816999","192.168.1.2","192.168.1.1","DNS","76","Standard query 0xb2d0 A sip.cybercity.dk"
"7","11.812382","192.168.1.2","192.168.1.1","DNS","76","Standard query 0xb2d0 A sip.cybercity.dk"
"8","13.815421","192.168.1.2","192.168.1.1","DNS","76","Standard query 0xb2d0 A sip.cybercity.dk"
"9","13.985073","192.168.1.1","192.168.1.2","DNS","144","Standard query response 0xb2d0 A sip.cybercity.dk A 212.242.33.35 NS ns2.cybercity.dk NS ns1.cybercity.dk A 212.242.41.248"
"10","14.991319","192.168.1.2","192.168.1.1","DNS","86","Standard query 0x4cd2 SRV _sip._udp.sip.cybercity.dk"
"11","15.988218","192.168.1.2","192.168.1.1","DNS","86","Standard query 0x4cd2 SRV _sip._udp.sip.cybercity.dk"
"12","17.991242","192.168.1.2","192.168.1.1","DNS","86","Standard query 0x4cd2 SRV _sip._udp.sip.cybercity.dk"
"13","18.983585","Castlene_00:34:56","Silicom_01:6e:bd","ARP","60","Who has 192.168.1.2? Tell 192.168.1.1"
"14","18.983634","Silicom_01:6e:bd","Castlene_00:34:56","ARP","42","192.168.1.2 is at 00:e0:ed:01:6e:bd"
"15","19.994012","192.168.1.2","192.168.1.1","DNS","86","Standard query 0x4cd2 SRV _sip._udp.sip.cybercity.dk"
"16","23.999789","192.168.1.2","192.168.1.1","DNS","86","Standard query 0x4cd2 SRV _sip._udp.sip.cybercity.dk"
"17","32.001808","192.168.1.2","192.168.1.1","DNS","82","Standard query 0xabd2 PTR 1.0.0.127.in-addr.arpa"
"18","32.003297","192.168.1.1","192.168.1.2","DNS","105","Standard query response 0xabd2 PTR 1.0.0.127.in-addr.arpa PTR localhost"
